"n_good_received","n_bad_received","spearman","kendall"
101,100,0.732699639855942,0.541110204081633
102,99,0.738967587034814,0.547763265306122
103,98,0.74474237695078,0.553265306122449
104,97,0.74989387755102,0.5584
105,96,0.757484273709484,0.566
106,95,0.763957262905162,0.572310204081633
107,94,0.769275870348139,0.577102040816327
108,93,0.774035534213685,0.582359183673469
109,92,0.780380792316927,0.589248979591837
110,91,0.787406962785114,0.596277551020408
111,90,0.792064345738295,0.601216326530612
112,89,0.799117887154862,0.608669387755102
113,88,0.805410324129652,0.615404081632653
114,87,0.81088787515006,0.621191836734694
115,86,0.815620168067227,0.626538775510204
116,85,0.822761584633854,0.633469387755102
117,84,0.82690756302521,0.638612244897959
118,83,0.833564465786314,0.645338775510204
119,82,0.837840096038415,0.649926530612245
120,81,0.844562304921969,0.659036734693878
121,80,0.848648739495798,0.66290612244898
122,79,0.853705162064826,0.669763265306122
123,78,0.856597358943577,0.67269387755102
124,77,0.8635606242497,0.68185306122449
125,76,0.866628091236495,0.685877551020408
126,75,0.87130756302521,0.692073469387755
127,74,0.873973109243698,0.6944
128,73,0.879447779111645,0.702628571428571
129,72,0.884238655462185,0.709232653061225
130,71,0.887468427370948,0.713126530612245
131,70,0.891568787515006,0.719387755102041
132,69,0.894290036014406,0.723412244897959
133,68,0.897788715486194,0.727804081632653
134,67,0.901014645858343,0.732734693877551
135,66,0.903098199279712,0.736359183673469
136,65,0.907722929171669,0.74309387755102
137,64,0.910290996398559,0.74749387755102
138,63,0.912508523409364,0.750016326530612
139,62,0.91556974789916,0.755518367346939
140,61,0.919243697478992,0.761371428571429
141,60,0.922216566626651,0.765902040816327
142,59,0.924432172869148,0.769518367346939
143,58,0.927121728691477,0.774073469387755
144,57,0.930432653061224,0.779722448979592
145,56,0.931777190876351,0.781436734693878
146,55,0.934795198079232,0.78625306122449
147,54,0.936226650660264,0.789355102040816
148,53,0.938833613445378,0.793273469387755
149,52,0.94025306122449,0.79614693877551
150,51,0.942194477791116,0.799804081632653
151,50,0.943811764705882,0.803640816326531
152,49,0.945546218487395,0.807159183673469
153,48,0.948008643457383,0.81145306122449
154,47,0.948955102040816,0.81309387755102
155,46,0.950431692677071,0.815657142857143
156,45,0.952314525810324,0.820065306122449
157,44,0.95409843937575,0.823697959183674
158,43,0.956138775510204,0.827812244897959
159,42,0.956848979591837,0.829681632653061
160,41,0.958339015606242,0.832881632653061
161,40,0.960084513805522,0.836171428571429
162,39,0.961642256902761,0.83989387755102
163,38,0.962327010804322,0.841738775510204
164,37,0.963743097238896,0.844808163265306
165,36,0.965272509003601,0.848669387755102
166,35,0.966938295318127,0.851959183673469
167,34,0.968022569027611,0.854767346938776
168,33,0.969051620648259,0.857281632653061
169,32,0.969664345738295,0.858726530612245
170,31,0.970688115246098,0.862359183673469
171,30,0.971857382953181,0.864669387755102
172,29,0.972470588235294,0.866538775510204
173,28,0.973769027611044,0.87025306122449
174,27,0.974206482593037,0.870848979591837
175,26,0.974928211284514,0.872702040816327
176,25,0.975947659063625,0.876424489795918
177,24,0.976779831932773,0.877934693877551
178,23,0.977834333733493,0.880816326530612
179,22,0.978463385354142,0.88294693877551
180,21,0.979288355342137,0.885469387755102
181,20,0.980210804321729,0.88785306122449
182,19,0.981130852340936,0.891020408163265
183,18,0.981539015606242,0.891959183673469
184,17,0.982115246098439,0.893730612244898
185,16,0.982873949579832,0.896302040816326
186,15,0.983268667466987,0.89730612244898
187,14,0.983966386554622,0.900228571428571
188,13,0.984691476590636,0.90290612244898
189,12,0.985087635054022,0.903861224489796
190,11,0.985489555822329,0.905722448979592
191,10,0.986180072028812,0.908351020408163
192,9,0.986684273709484,0.910971428571429
193,8,0.986966146458583,0.912277551020408
194,7,0.987508283313325,0.914702040816327
195,6,0.98795006002401,0.916685714285714
196,5,0.988650180072029,0.920114285714286
197,4,0.989126050420168,0.922563265306122
198,3,0.989603361344538,0.924873469387755
199,2,0.990095558223289,0.927534693877551
200,1,0.990634333733493,0.930481632653061
201,0,0.991018967587035,0.931795918367347
